age,bmi,daily_income_inr,children,smoker_tobacco,occupation,tier_city,recommended_policy
36,20.5,433,1,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
56,23.0,223,1,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
44,28.2,1249,2,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
27,27.1,1205,3,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
43,19.2,721,2,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
36,25.2,216,2,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
56,17.1,444,1,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
20,24.2,917,1,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
30,30.6,969,0,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
45,20.7,916,1,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
37,21.1,1425,2,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
45,26.7,1471,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
25,18.6,317,2,No,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
58,21.8,208,2,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
56,26.1,797,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
18,21.8,222,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
20,23.2,439,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
30,26.6,226,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
45,25.5,1183,3,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
42,24.9,1304,1,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
50,22.8,398,2,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
55,25.3,974,0,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
23,23.6,291,3,No,Street Vendor (Rehdi),Tier-1,PMJJBY (Life Cover - ₹436/year)
49,25.6,1050,2,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
38,22.3,1307,3,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
33,23.4,499,1,Yes,Small Shopkeeper,Rural,PMJJBY (Life Cover - ₹436/year)
38,20.5,495,1,Yes,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
28,23.9,846,0,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
54,21.2,1200,1,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
53,20.1,1282,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
52,24.9,1108,2,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
36,24.7,1070,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
37,26.7,952,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
35,22.5,541,3,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
58,25.4,261,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
31,25.9,975,2,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
32,25.6,824,2,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
48,21.1,455,1,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
18,24.5,1027,2,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
20,25.3,1213,3,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
33,24.0,814,0,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
40,16.7,444,0,No,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
28,24.6,956,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
29,31.7,1023,1,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
27,22.7,979,2,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
49,21.5,931,2,No,Small Shopkeeper,Tier-1,Gramin Dak Sevak (Rural Postal Life)
33,25.3,1077,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
25,25.1,1440,2,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
55,28.2,715,3,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
29,19.6,673,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
41,26.6,235,3,Yes,Farmer (Kisan),Tier-2,PMJJBY (Life Cover - ₹436/year)
45,26.1,1401,1,Yes,Auto/Taxi Driver,Tier-2,Saral Jeevan Bima (Standard Term)
25,23.5,1240,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
45,25.2,1029,0,Yes,Auto/Taxi Driver,Tier-1,Gramin Dak Sevak (Rural Postal Life)
53,27.6,1271,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
43,27.1,1285,1,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
25,20.0,1292,1,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
45,26.9,565,0,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
45,23.8,1385,2,Yes,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
54,24.3,1144,1,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
58,24.3,1175,3,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
53,23.5,630,1,No,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
44,28.2,1058,0,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
34,23.7,429,2,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
26,20.1,569,1,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,22.6,377,0,Yes,Farmer (Kisan),Rural,Micro-Endowment (Chota Bachat)
37,24.6,767,1,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
30,28.3,1493,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
45,26.1,1429,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
46,21.0,992,0,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
30,32.7,1099,0,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
52,24.9,1174,2,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
23,28.5,281,0,No,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
35,23.5,1045,2,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
22,25.9,961,0,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
42,26.9,1416,2,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
19,28.3,817,1,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
27,27.7,1412,1,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
47,27.1,1499,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
22,22.9,1297,0,Yes,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
50,22.0,1233,2,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
18,25.2,415,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
35,27.3,489,3,Yes,Street Vendor (Rehdi),Tier-1,PMJJBY (Life Cover - ₹436/year)
49,23.2,644,1,Yes,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
28,27.7,1122,3,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
38,29.1,751,1,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
43,20.8,392,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
42,21.1,488,1,No,Security Guard,Tier-1,PMJJBY (Life Cover - ₹436/year)
39,23.5,782,2,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
44,25.1,1367,1,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
30,22.2,1056,0,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,28.7,980,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
51,25.5,1095,1,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
58,24.1,1119,2,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
52,19.0,763,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
18,19.4,212,2,No,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
38,25.0,1186,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
23,16.5,539,3,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
45,27.5,1064,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMJJBY (Life Cover - ₹436/year)
34,23.4,511,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
22,35.4,932,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
48,32.1,1327,1,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
22,23.4,538,3,No,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
55,23.6,1421,1,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
20,27.5,499,2,Yes,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
40,30.0,558,3,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
54,18.3,368,2,Yes,Delivery Partner (Gig Worker),Rural,Saral Jeevan Bima (Standard Term)
54,17.7,1372,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
27,21.8,960,0,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
27,26.0,967,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,25.7,1181,0,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
34,27.7,241,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
38,19.8,401,0,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
31,15.9,1169,0,No,Daily Wage Laborer (MNREGA),Rural,Saral Jeevan Bima (Standard Term)
26,27.0,1467,0,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
18,21.1,663,1,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
30,16.9,648,0,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
21,24.5,1112,3,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
18,26.8,997,0,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
57,23.6,993,1,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
49,22.4,636,3,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
51,23.4,730,3,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
45,22.7,764,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMJJBY (Life Cover - ₹436/year)
48,19.3,1496,3,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
25,21.5,1071,1,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
56,25.8,412,2,No,Small Shopkeeper,Tier-1,Micro-Endowment (Chota Bachat)
43,25.1,1148,2,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
51,24.6,1327,0,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
20,20.5,391,0,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
29,23.4,1304,0,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
18,16.4,904,0,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
22,24.6,748,1,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
47,29.0,353,2,No,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
47,18.8,770,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
34,21.9,439,3,Yes,Street Vendor (Rehdi),Tier-1,PMJJBY (Life Cover - ₹436/year)
40,25.2,573,3,No,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
32,28.4,1004,3,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
54,22.4,998,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
38,21.6,1427,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
31,17.1,810,2,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
19,24.4,887,1,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
28,31.1,973,3,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
56,25.0,342,0,No,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
55,23.9,1412,2,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
51,25.1,471,0,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
55,24.0,625,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
51,21.2,245,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
35,26.9,294,0,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
47,24.8,263,0,Yes,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
32,24.1,612,3,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
44,20.6,1232,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
51,28.6,658,1,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
55,26.3,669,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
50,22.1,1009,2,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
41,27.5,705,3,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
32,22.3,1296,2,No,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
47,21.3,283,0,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
59,21.3,258,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
34,17.8,1244,2,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
22,25.7,1117,0,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
46,17.6,356,0,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
21,19.7,775,2,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
27,16.7,1036,1,Yes,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
34,23.7,879,0,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
27,23.5,402,1,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
34,22.9,1329,1,Yes,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
37,20.4,1345,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
41,19.9,517,1,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
22,25.6,1405,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
51,22.1,605,1,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
23,25.1,1185,3,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
19,20.9,1148,0,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
30,24.6,1293,2,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
28,28.6,1383,2,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
40,26.1,1463,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
33,22.6,1361,0,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
48,24.9,694,3,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
28,23.2,878,3,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
33,24.0,1470,0,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
25,22.9,1466,1,Yes,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
21,23.4,1034,1,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
57,24.7,393,0,Yes,Security Guard,Tier-2,Micro-Endowment (Chota Bachat)
21,20.5,507,3,Yes,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
42,20.4,705,2,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
20,19.1,480,3,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
49,18.4,874,1,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
20,19.7,1132,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
44,24.6,914,0,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
46,20.9,807,0,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
49,25.8,682,1,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
36,24.1,1446,3,Yes,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
38,17.1,316,0,No,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
22,26.3,1167,2,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
35,26.8,391,0,No,Street Vendor (Rehdi),Tier-2,PMJJBY (Life Cover - ₹436/year)
45,20.5,987,3,No,Auto/Taxi Driver,Rural,PMJJBY (Life Cover - ₹436/year)
59,25.5,817,1,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
39,21.0,715,2,Yes,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
38,24.3,506,2,No,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
23,19.6,731,0,Yes,Security Guard,Rural,Gramin Dak Sevak (Rural Postal Life)
18,17.7,321,3,Yes,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
22,22.7,848,0,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
58,23.6,791,2,No,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
29,22.6,1377,0,Yes,Auto/Taxi Driver,Tier-1,Micro-Endowment (Chota Bachat)
43,19.9,1069,3,No,Daily Wage Laborer (MNREGA),Tier-1,Saral Jeevan Bima (Standard Term)
51,22.6,1392,1,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
31,24.9,258,2,Yes,Farmer (Kisan),Tier-2,PMJJBY (Life Cover - ₹436/year)
43,23.8,500,3,No,Small Shopkeeper,Tier-2,Micro-Endowment (Chota Bachat)
44,24.6,752,0,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
26,21.7,1340,2,Yes,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
43,28.1,1350,0,No,Auto/Taxi Driver,Tier-2,Saral Jeevan Bima (Standard Term)
39,19.9,598,0,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
47,25.7,714,1,No,Delivery Partner (Gig Worker),Tier-2,Micro-Endowment (Chota Bachat)
34,28.1,1004,0,Yes,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
43,25.7,697,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
53,23.3,1141,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
18,22.2,727,0,Yes,Street Vendor (Rehdi),Tier-1,Micro-Endowment (Chota Bachat)
25,27.6,597,1,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
52,19.0,1488,0,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
32,20.6,1486,0,Yes,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
39,22.6,635,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
31,28.3,1039,2,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
43,25.3,559,1,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
45,20.6,1352,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
40,22.9,1063,1,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
31,21.8,833,1,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
41,21.5,1464,3,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
19,27.4,1445,2,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
43,19.2,413,1,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
31,29.6,1115,1,Yes,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
24,26.9,791,3,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
20,27.8,334,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
40,22.4,953,0,No,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
35,23.5,585,3,No,Farmer (Kisan),Tier-2,Gramin Dak Sevak (Rural Postal Life)
55,19.0,1412,1,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
52,22.2,588,2,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
32,25.7,943,1,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
42,28.5,1484,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
54,20.1,903,3,No,Street Vendor (Rehdi),Tier-1,PMSBY (Accidental Cover - ₹20/year)
45,22.7,1124,2,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
27,23.5,972,3,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
56,19.1,1336,3,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
34,26.1,1063,0,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
56,21.5,1259,1,Yes,Farmer (Kisan),Rural,Micro-Endowment (Chota Bachat)
39,23.3,278,0,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
43,22.4,1498,0,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
42,21.2,873,2,Yes,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
34,24.0,511,3,Yes,Small Shopkeeper,Rural,Gramin Dak Sevak (Rural Postal Life)
30,23.2,403,1,Yes,Small Shopkeeper,Tier-1,PMJJBY (Life Cover - ₹436/year)
37,22.7,1184,1,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
42,21.5,216,1,Yes,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
21,25.1,675,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
27,29.8,1216,1,Yes,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
20,24.5,409,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
58,27.5,698,3,Yes,Street Vendor (Rehdi),Rural,Gramin Dak Sevak (Rural Postal Life)
35,19.1,628,2,Yes,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
53,24.6,1301,1,Yes,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
39,20.2,1303,3,No,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
51,18.8,257,0,No,Security Guard,Rural,PMJJBY (Life Cover - ₹436/year)
25,21.4,1431,3,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,28.2,1358,0,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
36,27.3,1193,3,Yes,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
59,24.9,721,1,No,Farmer (Kisan),Tier-1,Gramin Dak Sevak (Rural Postal Life)
58,18.6,780,2,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
54,23.3,1098,2,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
23,25.1,1306,1,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
43,24.6,820,0,No,Daily Wage Laborer (MNREGA),Tier-2,PMJJBY (Life Cover - ₹436/year)
51,17.5,1267,3,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
23,20.9,1165,1,Yes,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
54,23.8,1109,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
50,25.9,692,1,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
39,16.3,698,1,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
38,23.4,1241,3,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
23,24.5,804,2,Yes,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
